id,name,category_id,price,stock,create_time
1,iPhone 15 Pro,1,7999.00,50,2025-01-01 00:00:00
2,Xiaomi 14 Ultra,1,6499.00,80,2025-01-01 00:00:00
3,AirPods Pro 2,1,1899.00,120,2025-01-01 00:00:00
4,Huawei Mate60,1,5999.00,65,2025-01-01 00:00:00
5,ThinkPad X1 Carbon,1,12999.00,30,2025-01-01 00:00:00
6,Nike Air Max 90,2,899.00,200,2025-01-01 00:00:00
7,Adidas Ultraboost,2,1299.00,150,2025-01-01 00:00:00
8,Uniqlo Cotton T-Shirt,2,99.00,500,2025-01-01 00:00:00
9,Levis 501 Jeans,2,459.00,180,2025-01-01 00:00:00
10,The North Face Jacket,2,1899.00,90,2025-01-01 00:00:00
11,Yangcheng Lake Crab,3,268.00,0,2025-01-01 00:00:00
12,Organic Blueberries 125g,3,35.00,300,2025-01-01 00:00:00
13,Nongfu Spring Baby Water,3,12.50,400,2025-01-01 00:00:00
14,Salmon Sashimi 500g,3,128.00,80,2025-01-01 00:00:00
15,Sapiens,4,68.00,150,2025-01-01 00:00:00
16,Python Programming,4,89.00,200,2025-01-01 00:00:00
17,Sony WH-1000XM5,1,2499.00,60,2025-01-01 00:00:00
18,Dyson Hair Dryer,5,2990.00,25,2025-01-01 00:00:00
19,Xiaomi Robot Vacuum,5,1999.00,70,2025-01-01 00:00:00
20,Philips Air Fryer,5,499.00,100,2025-01-01 00:00:00